Código IBGE;Municí­pios;Microregião;Estado;Região Geográfica;Área km²;População;Domicílios;PIB Total (R$ mil);IDH - Índice de Desenv. Humano;Renda Média;Renda Nominal;PEA Dia;IDH - Dimensção Educação;IDH - Dimensção Longevidade;Atualização
5215009;Nova Veneza;Anápolis;GO;Centro-Oeste;123,38;10018;3182;182680,47;0,72;3380,61;10757344,65;4379;0,66;0,84
5215207;Novo Brasil;Iporá;GO;Centro-Oeste;649,95;2843;1122;56094,14;0,70;3046,85;3420609,91;1747;0,60;0,83
5215231;Novo Gama;Entorno de Brasília;GO;Centro-Oeste;194,15;117703;34263;955266,12;0,68;3308,67;113366693,97;30291;0,57;0,85
5215256;Novo Planalto;São Miguel do Araguaia;GO;Centro-Oeste;1242,73;4544;1605;103728,88;0,66;2099,83;3371807,26;1940;0,55;0,83
5215306;Orizona;Pires do Rio;GO;Centro-Oeste;1972,88;15725;5583;518707,81;0,72;3620,01;20212379,48;7914;0,61;0,83
5215405;Ouro Verde de Goiás;Anápolis;GO;Centro-Oeste;208,77;3723;1284;109647,87;0,72;2967,81;3811885,84;1681;0,67;0,82
5215504;Ouvidor;Catalão;GO;Centro-Oeste;413,78;6782;2355;761881,42;0,75;3927,06;9249948,41;6621;0,70;0,83
5215603;Padre Bernardo;Entorno de Brasília;GO;Centro-Oeste;3138,86;34430;10439;506796,01;0,65;2939,26;30683579,91;13050;0,52;0,80
5215652;Palestina de Goiás;Sudoeste de Goiás;GO;Centro-Oeste;1320,69;3467;1195;91803,78;0,71;2835,30;3388990,53;1615;0,66;0,84
5215702;Palmeiras de Goiás;Vale do Rio dos Bois;GO;Centro-Oeste;1539,69;29392;10156;1006155,54;0,70;3409,72;34630204,34;19693;0,60;0,82
5215801;Palmelo;Pires do Rio;GO;Centro-Oeste;58,96;2381;834;39098,33;0,73;3240,82;2702925,23;1260;0,66;0,80
5215900;Palminópolis;Vale do Rio dos Bois;GO;Centro-Oeste;387,69;3582;1339;143637,42;0,72;3159,36;4231966,09;2092;0,63;0,83
5216007;Panamá;Meia Ponte;GO;Centro-Oeste;433,76;2603;992;87364,33;0,69;3097,01;3073088,83;1343;0,57;0,82
5216304;Paranaiguara;Quirinópolis;GO;Centro-Oeste;1153,83;10140;3564;185182,54;0,71;3568,99;12720546,07;4542;0,61;0,84
